date,pd_type,pd_count
2023-12-10,reclassification_nil,838
2023-12-10,travelq,92251
2023-12-10,qpnotes,4751
2023-12-09,grants_nil,167
2023-12-09,hospitalityq,22668
2023-12-09,wrongdoing,47
2023-12-09,contracts_nil,74
2023-12-09,travelq,92251
2023-12-09,dac,2882
2023-12-09,parliament_committee,267
2023-12-09,parliament_report,355
2023-12-09,contractsa,395
2023-12-09,travelq_nil,1962
2023-12-09,transition_deputy,46
2023-12-09,ati_all,167161
2023-12-09,reclassification_nil,838
2023-12-09,grants,949373
2023-12-09,transition,69
2023-12-09,briefingt,101134
2023-12-09,qpnotes,4751
2023-12-09,contracts,1036970
2023-12-09,travela,483
2023-12-09,reclassification,11085
2023-12-09,ati_nil,2901
2023-12-09,hospitalityq_nil,3208
2023-12-09,adminaircraft,20
2023-12-09,parliament_committee_deputy,227
2023-12-08,parliament_committee,267
2023-12-08,reclassification_nil,838
2023-12-08,transition_deputy,46
2023-12-08,hospitalityq_nil,3208
2023-12-08,grants,949373
2023-12-08,ati_nil,2892
2023-12-08,parliament_report,353
2023-12-08,contractsa,395
2023-12-08,parliament_committee_deputy,227
2023-12-08,contracts,1036970
2023-12-08,contracts_nil,74
2023-12-08,wrongdoing,47
2023-12-08,qpnotes,4751
2023-12-08,travela,483
2023-12-08,hospitalityq,22668
2023-12-08,dac,2882
2023-12-08,adminaircraft,20
2023-12-08,ati_all,167069
2023-12-08,reclassification,11085
2023-12-08,briefingt,101134
2023-12-08,grants_nil,167
2023-12-08,travelq_nil,1962
2023-12-08,travelq,92251
2023-12-08,transition,69
2023-12-07,contracts_nil,74
2023-12-07,travela,483
2023-12-07,transition,69
2023-12-07,parliament_report,353
2023-12-07,contracts,1036970
2023-12-07,wrongdoing,47
2023-12-07,parliament_committee_deputy,227
2023-12-07,ati_all,167062
2023-12-07,travelq,92241
2023-12-07,parliament_committee,267
2023-12-07,hospitalityq,22667
2023-12-07,grants_nil,167
2023-12-07,adminaircraft,20
2023-12-07,dac,2882
2023-12-07,grants,949373
2023-12-07,briefingt,101038
2023-12-07,ati_nil,2892
2023-12-07,reclassification,11085
2023-12-07,contractsa,395
2023-12-07,qpnotes,4751
2023-12-07,hospitalityq_nil,3208
2023-12-07,travelq_nil,1962
2023-12-07,transition_deputy,46
2023-12-07,reclassification_nil,838
2023-12-06,travela,483
2023-12-06,grants_nil,167
2023-12-06,hospitalityq_nil,3208
2023-12-06,adminaircraft,20
2023-12-06,parliament_committee_deputy,227
2023-12-06,parliament_committee,267
2023-12-06,ati_nil,2891
2023-12-06,contracts,1036970
