owner_org,ati_all,ati_nil,briefingt,contracts,contracts_nil,contractsa,dac,grants,grants_nil,hospitalityq,hospitalityq_nil,qpnotes,reclassification,reclassification_nil,travela,travelq,travelq_nil,wrongdoing
polar-polaire,2,25,40,102,1,1,0,183,1,10,4,0,0,0,0,63,2,0
ppa-app,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppsc-sppc,328,4,1030,1601,0,6,33,0,0,11,53,0,287,8,13,148,23,0
pptc,69,0,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prairiescan,138,4,615,167,0,0,0,2337,0,8,20,13,2,6,3,180,4,0
prpa-appr,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ps-sp,3319,0,4021,2025,0,6,62,2102,10,182,32,259,13,13,0,700,17,0
psc-cfp,448,8,159,2508,0,4,59,0,0,1158,6,0,187,12,3,756,6,0
pshcp-rssfp,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psi,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psic-ispc,21,6,0,112,0,1,0,0,0,6,79,0,0,0,0,19,44,0
pslrb-crtfp,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pspib-oirpsp,56,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ptr,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
pwgsc-tpsgc,6710,0,1266,52156,0,6,83,0,14,51,28,277,63,4,5,392,7,14
ql-lq,0,0,50,0,0,0,0,0,0,1,8,0,0,0,0,64,0,0
qpa-apq,19,5,0,0,0,0,0,0,0,117,4,0,0,0,0,42,3,0
rcmp-grc,6051,1,699,25527,0,6,70,277,1,872,5,0,539,23,7,1361,3,0
ri,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scc-ccn,15,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scc-csc,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,0,0
sdtc-tddc,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sibc-cpivml,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sirc-csars,69,0,0,59,0,0,0,0,0,29,0,0,0,0,0,44,0,0
sjpa-apsj,3,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
slupb-cats,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slwb-otes,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snsicp-scpssnr,2,9,0,0,0,0,0,0,0,170,37,0,0,0,0,122,44,0
sopf-cidp,6,42,0,0,0,0,0,0,0,5,21,0,0,0,0,90,0,0
spa-aps,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srp-rsp,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,3,11,0
ssc-spc,1227,0,616,22060,0,6,79,0,0,297,42,7,46,12,11,363,25,0
sshrc-crsh,180,9,104,378,9,2,21,45602,0,22,18,0,0,0,7,339,9,0
statcan,517,1,455,1871,0,6,64,4,18,75,6,0,53,7,8,279,0,0
stjpa-apstj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
swc-cfc,174,0,0,112,0,1,0,143,2,55,9,0,7,3,0,246,12,0
tbpa-aptb,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbs-sct,3386,0,1381,7497,0,6,96,40,10,317,20,56,60,6,6,537,9,0
tc,7170,0,2386,20821,0,6,56,26878,0,263,20,71,480,3,13,2820,5,0
tf,14,27,0,0,0,0,0,0,0,64,0,0,0,0,0,82,0,0
tmc,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmp,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpa-apt,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsb-bst,456,8,0,402,0,0,0,0,0,17,58,0,18,14,12,131,24,0
vac-acc,1111,1,333,4526,0,6,60,1432,0,427,38,205,469,12,5,2708,12,2
vfpa-apvf,209,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
viarail,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrab-tacra,44,27,0,104,8,3,0,0,0,53,24,1,17,22,0,308,19,0
wage,160,6,872,591,0,5,0,1631,3,13,28,136,9,14,4,332,11,0
wd-deo,215,1,451,162,0,2,0,14556,0,73,19,0,23,10,10,1387,10,0
wdba-apwd,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yesab-oeesy,8,35,0,0,0,1,0,0,0,0,0,0,0,0,0,30,9,0
