Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Identifier
Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,npa-apn,4,2
Development Finance Institution - FinDev Canada,Institution de financement du développement - FinDev Canada,dfi-ifd,4,1
National Arts Centre,Centre national des Arts,nac-cna,4,3
Toronto Port Authority,Administration portuaire de Toronto,tpa-apt,4,3
Hamilton-Oshawa  Port Authority,Administration portuaire de Hamilton-Oshawa,hampa-apham,4,3
Great Lakes Pilotage Authority Canada,Administration de pilotage des Grands Lacs Canada,glpa-apgl,4,2
Copyright Board Canada,Commission du droit d'auteur du Canada,cb-cda,3,2
Laurentian Pilotage Authority Canada,Administration de pilotage des Laurentides Canada,lpa-apl,3,3
St. John's Port Authority,Administration portuaire de St. John's,sjpa-apsj,3,1
Office of the Public Sector Integrity Commissioner of Canada,Commissariat à l'intégrité du secteur public du Canada,psic-ispc,3,1
Thunder Bay Port Authority,Administration portuaire de Thunder Bay,tbpa-aptb,2,1
Canadian Museum of Nature,Musée canadien de la nature,cmn-mcn,2,1
Trans Mountain Corporation,Trans Mountain Corporation,tmc,2,1
RCMP External Review Committee,Comité externe d'examen de la GRC,erc-cee,2,1
Nanaimo Port Authority,Administration portuaire de Nanaïmo,nnpa-apn,2,2
Office of the Administrator of the Fund for Railway Accidents Involving Designated Goods; (operating under the name) Ship and Rail Compensation Canada,Bureau de l’administrateur de la Caisse d’indemnisation pour les accidents ferroviaires impliquant des marchandises désignées; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,fraidg-ciafimd,2,2
Pierre Elliott Trudeau Foundation,Fondation Pierre Elliott Trudeau,petf-fpet,2,2
Asia-Pacific Foundation of Canada,Fondation Asie Pacifique du Canada,apfc-fapc,1,1
Mackenzie Valley Land and Water Board,Office des terres et des eaux de la vallée du Mackenzie Valley,mlvwb-otevm,1,1
Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,hsmbc-clmhc,1,1
Polar Knowledge Canada,Savoir polaire Canada,polar-polaire,1,1
Parc Downsview Park Inc.,Parc Downsview Park Inc,pdp,1,1
Port of Belledune,Port de Belledune,pb,1,1
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Secrétariat du Comité des parlementaires sur la sécurité nationale et le renseignement,snsicp-scpssnr,1,1
